question,answer,chat
What is the outlook for Metastatic Squamous Neck Cancer with Occult Primary ?,Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The number and size of lymph nodes that have cancer in them.    - Whether the cancer has responded to treatment or has recurred (come back).    - How different from normal the cancer cells look under a microscope.    - The patient's age and general health.        Treatment options also depend on the following:         - Which part of the neck the cancer is in.    - Whether certain tumor markers are found.,<s>[INST] What is the outlook for Metastatic Squamous Neck Cancer with Occult Primary ?[/INST] Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The number and size of lymph nodes that have cancer in them.    - Whether the cancer has responded to treatment or has recurred (come back).    - How different from normal the cancer cells look under a microscope.    - The patient's age and general health.        Treatment options also depend on the following:         - Which part of the neck the cancer is in.    - Whether certain tumor markers are found.</s>
What is (are) Netherton syndrome ?,"Netherton syndrome is a disorder that affects the skin, hair, and immune system. Newborns with Netherton syndrome have skin that is red and scaly (ichthyosiform erythroderma), and the skin may leak fluid. Some affected infants are born with a tight, clear sheath covering their skin called a collodion membrane. This membrane is usually shed during the first few weeks of life. Because newborns with this disorder are missing the protection provided by normal skin, they are at risk of becoming dehydrated and developing infections in the skin or throughout the body (sepsis), which can be life-threatening. Affected babies may also fail to grow and gain weight at the expected rate (failure to thrive). The health of older children and adults with Netherton syndrome usually improves, although they often remain underweight and of short stature.  After infancy, the severity of the skin abnormalities varies among people with Netherton syndrome and can fluctuate over time. The skin may continue to be red and scaly, especially during the first few years of life. Some affected individuals have intermittent redness or experience outbreaks of a distinctive skin abnormality called ichthyosis linearis circumflexa, involving patches of multiple ring-like lesions. The triggers for the outbreaks are not known, but researchers suggest that stress or infections may be involved.  Itchiness is a common problem for affected individuals, and scratching can lead to frequent infections. Dead skin cells are shed at an abnormal rate and often accumulate in the ear canals, which can affect hearing if not removed regularly. The skin is abnormally absorbent of substances such as lotions and ointments, which can result in excessive blood levels of some topical medications. Because the ability of the skin to protect against heat and cold is impaired, affected individuals may have difficulty regulating their body temperature.  People with Netherton syndrome have hair that is fragile and breaks easily. Some strands of hair vary in diameter, with thicker and thinner spots. This feature is known as bamboo hair, trichorrhexis nodosa, or trichorrhexis invaginata. In addition to the hair on the scalp, the eyelashes and eyebrows may be affected. The hair abnormality in Netherton syndrome may not be noticed in infancy because babies often have sparse hair.  Most people with Netherton syndrome have immune system-related problems such as food allergies, hay fever, asthma, or an inflammatory skin disorder called eczema.","<s>[INST] What is (are) Netherton syndrome ?[/INST] Netherton syndrome is a disorder that affects the skin, hair, and immune system. Newborns with Netherton syndrome have skin that is red and scaly (ichthyosiform erythroderma), and the skin may leak fluid. Some affected infants are born with a tight, clear sheath covering their skin called a collodion membrane. This membrane is usually shed during the first few weeks of life. Because newborns with this disorder are missing the protection provided by normal skin, they are at risk of becoming dehydrated and developing infections in the skin or throughout the body (sepsis), which can be life-threatening. Affected babies may also fail to grow and gain weight at the expected rate (failure to thrive). The health of older children and adults with Netherton syndrome usually improves, although they often remain underweight and of short stature.  After infancy, the severity of the skin abnormalities varies among people with Netherton syndrome and can fluctuate over time. The skin may continue to be red and scaly, especially during the first few years of life. Some affected individuals have intermittent redness or experience outbreaks of a distinctive skin abnormality called ichthyosis linearis circumflexa, involving patches of multiple ring-like lesions. The triggers for the outbreaks are not known, but researchers suggest that stress or infections may be involved.  Itchiness is a common problem for affected individuals, and scratching can lead to frequent infections. Dead skin cells are shed at an abnormal rate and often accumulate in the ear canals, which can affect hearing if not removed regularly. The skin is abnormally absorbent of substances such as lotions and ointments, which can result in excessive blood levels of some topical medications. Because the ability of the skin to protect against heat and cold is impaired, affected individuals may have difficulty regulating their body temperature.  People with Netherton syndrome have hair that is fragile and breaks easily. Some strands of hair vary in diameter, with thicker and thinner spots. This feature is known as bamboo hair, trichorrhexis nodosa, or trichorrhexis invaginata. In addition to the hair on the scalp, the eyelashes and eyebrows may be affected. The hair abnormality in Netherton syndrome may not be noticed in infancy because babies often have sparse hair.  Most people with Netherton syndrome have immune system-related problems such as food allergies, hay fever, asthma, or an inflammatory skin disorder called eczema.</s>"
What are the genetic changes related to WAGR syndrome ?,"WAGR syndrome is caused by a deletion of genetic material on the short (p) arm of chromosome 11. The size of the deletion varies among affected individuals.  The signs and symptoms of WAGR syndrome are related to the loss of multiple genes on the short arm of chromosome 11. WAGR syndrome is often described as a contiguous gene deletion syndrome because it results from the loss of several neighboring genes. The PAX6 and WT1 genes are always deleted in people with the typical signs and symptoms of this disorder. Because changes in the PAX6 gene can affect eye development, researchers think that the loss of the PAX6 gene is responsible for the characteristic eye features of WAGR syndrome. The PAX6 gene may also affect brain development. Wilms tumor and genitourinary abnormalities are often the result of mutations in the WT1 gene, so deletion of the WT1 gene is very likely the cause of these features in WAGR syndrome.  In people with WAGRO syndrome, the chromosome 11 deletion includes an additional gene, BDNF. This gene is active (expressed) in the brain and plays a role in the survival of nerve cells (neurons). The protein produced from the BDNF gene is thought to be involved in the management of eating, drinking, and body weight. Loss of the BDNF gene is likely responsible for childhood-onset obesity in people with WAGRO syndrome. People with WAGRO syndrome may be at greater risk of neurological problems such as intellectual disability and autism than those with WAGR syndrome. It is unclear whether this increased risk is due to the loss of the BDNF gene or other nearby genes.  Research is ongoing to identify additional genes deleted in people with WAGR syndrome and to determine how their loss leads to the other features of the disorder.","<s>[INST] What are the genetic changes related to WAGR syndrome ?[/INST] WAGR syndrome is caused by a deletion of genetic material on the short (p) arm of chromosome 11. The size of the deletion varies among affected individuals.  The signs and symptoms of WAGR syndrome are related to the loss of multiple genes on the short arm of chromosome 11. WAGR syndrome is often described as a contiguous gene deletion syndrome because it results from the loss of several neighboring genes. The PAX6 and WT1 genes are always deleted in people with the typical signs and symptoms of this disorder. Because changes in the PAX6 gene can affect eye development, researchers think that the loss of the PAX6 gene is responsible for the characteristic eye features of WAGR syndrome. The PAX6 gene may also affect brain development. Wilms tumor and genitourinary abnormalities are often the result of mutations in the WT1 gene, so deletion of the WT1 gene is very likely the cause of these features in WAGR syndrome.  In people with WAGRO syndrome, the chromosome 11 deletion includes an additional gene, BDNF. This gene is active (expressed) in the brain and plays a role in the survival of nerve cells (neurons). The protein produced from the BDNF gene is thought to be involved in the management of eating, drinking, and body weight. Loss of the BDNF gene is likely responsible for childhood-onset obesity in people with WAGRO syndrome. People with WAGRO syndrome may be at greater risk of neurological problems such as intellectual disability and autism than those with WAGR syndrome. It is unclear whether this increased risk is due to the loss of the BDNF gene or other nearby genes.  Research is ongoing to identify additional genes deleted in people with WAGR syndrome and to determine how their loss leads to the other features of the disorder.</s>"
How many people are affected by Sjgren syndrome ?,"Sjgren syndrome is a relatively common disorder; it occurs in 0.1 to 4 percent of the population. It is difficult to determine the exact prevalence because the characteristic features of this disorder, dry eyes and dry mouth, can also be caused by many other conditions. Women develop Sjgren syndrome about 10 times more often than men; the specific reason for this difference is unknown but likely involves the effects of sex hormones on immune system function.","<s>[INST] How many people are affected by Sjgren syndrome ?[/INST] Sjgren syndrome is a relatively common disorder; it occurs in 0.1 to 4 percent of the population. It is difficult to determine the exact prevalence because the characteristic features of this disorder, dry eyes and dry mouth, can also be caused by many other conditions. Women develop Sjgren syndrome about 10 times more often than men; the specific reason for this difference is unknown but likely involves the effects of sex hormones on immune system function.</s>"
What are the treatments for Hypoglycemia ?,"Signs and symptoms of hypoglycemia vary from person to person. People with diabetes should get to know their signs and symptoms and describe them to their friends and family so they can help if needed. School staff should be told how to recognize a child's signs and symptoms of hypoglycemia and how to treat it.
                
People who experience hypoglycemia several times in a week should call their health care provider. They may need a change in their treatment plan: less medication or a different medication, a new schedule for insulin or medication, a different meal plan, or a new physical activity plan.
                
Prompt Treatment for Hypoglycemia
                
When people think their blood glucose is too low, they should check the blood glucose level of a blood sample using a meter. If the level is below 70 mg/dL, one of these quick-fix foods should be consumed right away to raise blood glucose:
                
- 3 or 4 glucose tablets  - 1 serving of glucose gelthe amount equal to 15 grams of carbohydrate  - 1/2 cup, or 4 ounces, of any fruit juice  - 1/2 cup, or 4 ounces, of a regularnot dietsoft drink  - 1 cup, or 8 ounces, of milk  - 5 or 6 pieces of hard candy  - 1 tablespoon of sugar or honey
                
Recommended amounts may be less for small children. The child's doctor can advise about the right amount to give a child.
                
The next step is to recheck blood glucose in 15 minutes to make sure it is 70 mg/dL or above. If it's still too low, another serving of a quick-fix food should be eaten. These steps should be repeated until the blood glucose level is 70 mg/dL or above. If the next meal is an hour or more away, a snack should be eaten once the quick-fix foods have raised the blood glucose level to 70 mg/dL or above.
                
For People Who Take Acarbose (Precose) or Miglitol (Glyset)
                
People who take either of these diabetes medications should know that only pure glucose, also called dextroseavailable in tablet or gel formwill raise their blood glucose level during a low blood glucose episode. Other quick-fix foods and drinks won't raise the level quickly enough because acarbose and miglitol slow the digestion of other forms of carbohydrate.
                
Help from Others for Severe Hypoglycemia
                
Severe hypoglycemiavery low blood glucosecan cause a person to pass out and can even be life threatening. Severe hypoglycemia is more likely to occur in people with type 1 diabetes. People should ask a health care provider what to do about severe hypoglycemia. Another person can help someone who has passed out by giving an injection of glucagon. Glucagon will rapidly bring the blood glucose level back to normal and help the person regain consciousness. A health care provider can prescribe a glucagon emergency kit. Family, friends, or coworkersthe people who will be around the person at risk of hypoglycemiacan learn how to give a glucagon injection and when to call 911 or get medical help.
                
Physical Activity and Blood Glucose Levels
                
Physical activity has many benefits for people with diabetes, including lowering blood glucose levels. However, physical activity can make levels too low and can cause hypoglycemia up to 24 hours afterward. A health care provider can advise about checking the blood glucose level before exercise. For those who take insulin or one of the oral medications that increase insulin production, the health care provider may suggest having a snack if the glucose level is below 100 mg/dL or adjusting medication doses before physical activity to help avoid hypoglycemia. A snack can prevent hypoglycemia. The health care provider may suggest extra blood glucose checks, especially after strenuous exercise.
                
Hypoglycemia When Driving
                
Hypoglycemia is particularly dangerous if it happens to someone who is driving. People with hypoglycemia may have trouble concentrating or seeing clearly behind the wheel and may not be able to react quickly to road hazards or to the actions of other drivers. To prevent problems, people at risk for hypoglycemia should check their blood glucose level before driving. During longer trips, they should check their blood glucose level frequently and eat snacks as needed to keep the level at 70 mg/dL or above. If necessary, they should stop for treatment and then make sure their blood glucose level is 70 mg/dL or above before starting to drive again.
                
Hypoglycemia Unawareness
                
Some people with diabetes do not have early warning signs of low blood glucose, a condition called hypoglycemia unawareness. This condition occurs most often in people with type 1 diabetes, but it can also occur in people with type 2 diabetes. People with hypoglycemia unawareness may need to check their blood glucose level more often so they know when hypoglycemia is about to occur. They also may need a change in their medications, meal plan, or physical activity routine.
                
Hypoglycemia unawareness develops when frequent episodes of hypoglycemia lead to changes in how the body reacts to low blood glucose levels. The body stops releasing the hormone epinephrine and other stress hormones when blood glucose drops too low. The loss of the body's ability to release stress hormones after repeated episodes of hypoglycemia is called hypoglycemia-associated autonomic failure, or HAAF.
                
Epinephrine causes early warning symptoms of hypoglycemia such as shakiness, sweating, anxiety, and hunger. Without the release of epinephrine and the symptoms it causes, a person may not realize that hypoglycemia is occurring and may not take action to treat it. A vicious cycle can occur in which frequent hypoglycemia leads to hypoglycemia unawareness and HAAF, which in turn leads to even more severe and dangerous hypoglycemia. Studies have shown that preventing hypoglycemia for a period as short as several weeks can sometimes break this cycle and restore awareness of symptoms. Health care providers may therefore advise people who have had severe hypoglycemia to aim for higher-than-usual blood glucose targets for short-term periods.
                
Being Prepared for Hypoglycemia
                
People who use insulin or take an oral diabetes medication that can cause low blood glucose should always be prepared to prevent and treat low blood glucose by
                
- learning what can trigger low blood glucose levels  - having their blood glucose meter available to test glucose levels; frequent testing may be critical for those with hypoglycemia unawareness, particularly before driving a car or engaging in any hazardous activity  - always having several servings of quick-fix foods or drinks handy  - wearing a medical identification bracelet or necklace  - planning what to do if they develop severe hypoglycemia  - telling their family, friends, and coworkers about the symptoms of hypoglycemia and how they can help if needed
                
Normal and Target Blood Glucose Ranges          Normal Blood Glucose Levels in People Who Do Not Have Diabetes          Upon wakingfasting    70 to 99 mg/dL        After meals    70 to 140 mg/dL          Target Blood Glucose Levels in People Who Have Diabetes          Before meals    70 to 130 mg/dL        1 to 2 hours after the start of a meal    below 180 mg/dL
                
For people with diabetes, a blood glucose level below 70 mg/dL is considered hypoglycemia.","<s>[INST] What are the treatments for Hypoglycemia ?[/INST] Signs and symptoms of hypoglycemia vary from person to person. People with diabetes should get to know their signs and symptoms and describe them to their friends and family so they can help if needed. School staff should be told how to recognize a child's signs and symptoms of hypoglycemia and how to treat it.
                
People who experience hypoglycemia several times in a week should call their health care provider. They may need a change in their treatment plan: less medication or a different medication, a new schedule for insulin or medication, a different meal plan, or a new physical activity plan.
                
Prompt Treatment for Hypoglycemia
                
When people think their blood glucose is too low, they should check the blood glucose level of a blood sample using a meter. If the level is below 70 mg/dL, one of these quick-fix foods should be consumed right away to raise blood glucose:
                
- 3 or 4 glucose tablets  - 1 serving of glucose gelthe amount equal to 15 grams of carbohydrate  - 1/2 cup, or 4 ounces, of any fruit juice  - 1/2 cup, or 4 ounces, of a regularnot dietsoft drink  - 1 cup, or 8 ounces, of milk  - 5 or 6 pieces of hard candy  - 1 tablespoon of sugar or honey
                
Recommended amounts may be less for small children. The child's doctor can advise about the right amount to give a child.
                
The next step is to recheck blood glucose in 15 minutes to make sure it is 70 mg/dL or above. If it's still too low, another serving of a quick-fix food should be eaten. These steps should be repeated until the blood glucose level is 70 mg/dL or above. If the next meal is an hour or more away, a snack should be eaten once the quick-fix foods have raised the blood glucose level to 70 mg/dL or above.
                
For People Who Take Acarbose (Precose) or Miglitol (Glyset)
                
People who take either of these diabetes medications should know that only pure glucose, also called dextroseavailable in tablet or gel formwill raise their blood glucose level during a low blood glucose episode. Other quick-fix foods and drinks won't raise the level quickly enough because acarbose and miglitol slow the digestion of other forms of carbohydrate.
                
Help from Others for Severe Hypoglycemia
                
Severe hypoglycemiavery low blood glucosecan cause a person to pass out and can even be life threatening. Severe hypoglycemia is more likely to occur in people with type 1 diabetes. People should ask a health care provider what to do about severe hypoglycemia. Another person can help someone who has passed out by giving an injection of glucagon. Glucagon will rapidly bring the blood glucose level back to normal and help the person regain consciousness. A health care provider can prescribe a glucagon emergency kit. Family, friends, or coworkersthe people who will be around the person at risk of hypoglycemiacan learn how to give a glucagon injection and when to call 911 or get medical help.
                
Physical Activity and Blood Glucose Levels
                
Physical activity has many benefits for people with diabetes, including lowering blood glucose levels. However, physical activity can make levels too low and can cause hypoglycemia up to 24 hours afterward. A health care provider can advise about checking the blood glucose level before exercise. For those who take insulin or one of the oral medications that increase insulin production, the health care provider may suggest having a snack if the glucose level is below 100 mg/dL or adjusting medication doses before physical activity to help avoid hypoglycemia. A snack can prevent hypoglycemia. The health care provider may suggest extra blood glucose checks, especially after strenuous exercise.
                
Hypoglycemia When Driving
                
Hypoglycemia is particularly dangerous if it happens to someone who is driving. People with hypoglycemia may have trouble concentrating or seeing clearly behind the wheel and may not be able to react quickly to road hazards or to the actions of other drivers. To prevent problems, people at risk for hypoglycemia should check their blood glucose level before driving. During longer trips, they should check their blood glucose level frequently and eat snacks as needed to keep the level at 70 mg/dL or above. If necessary, they should stop for treatment and then make sure their blood glucose level is 70 mg/dL or above before starting to drive again.
                
Hypoglycemia Unawareness
                
Some people with diabetes do not have early warning signs of low blood glucose, a condition called hypoglycemia unawareness. This condition occurs most often in people with type 1 diabetes, but it can also occur in people with type 2 diabetes. People with hypoglycemia unawareness may need to check their blood glucose level more often so they know when hypoglycemia is about to occur. They also may need a change in their medications, meal plan, or physical activity routine.
                
Hypoglycemia unawareness develops when frequent episodes of hypoglycemia lead to changes in how the body reacts to low blood glucose levels. The body stops releasing the hormone epinephrine and other stress hormones when blood glucose drops too low. The loss of the body's ability to release stress hormones after repeated episodes of hypoglycemia is called hypoglycemia-associated autonomic failure, or HAAF.
                
Epinephrine causes early warning symptoms of hypoglycemia such as shakiness, sweating, anxiety, and hunger. Without the release of epinephrine and the symptoms it causes, a person may not realize that hypoglycemia is occurring and may not take action to treat it. A vicious cycle can occur in which frequent hypoglycemia leads to hypoglycemia unawareness and HAAF, which in turn leads to even more severe and dangerous hypoglycemia. Studies have shown that preventing hypoglycemia for a period as short as several weeks can sometimes break this cycle and restore awareness of symptoms. Health care providers may therefore advise people who have had severe hypoglycemia to aim for higher-than-usual blood glucose targets for short-term periods.
                
Being Prepared for Hypoglycemia
                
People who use insulin or take an oral diabetes medication that can cause low blood glucose should always be prepared to prevent and treat low blood glucose by
                
- learning what can trigger low blood glucose levels  - having their blood glucose meter available to test glucose levels; frequent testing may be critical for those with hypoglycemia unawareness, particularly before driving a car or engaging in any hazardous activity  - always having several servings of quick-fix foods or drinks handy  - wearing a medical identification bracelet or necklace  - planning what to do if they develop severe hypoglycemia  - telling their family, friends, and coworkers about the symptoms of hypoglycemia and how they can help if needed
                
Normal and Target Blood Glucose Ranges          Normal Blood Glucose Levels in People Who Do Not Have Diabetes          Upon wakingfasting    70 to 99 mg/dL        After meals    70 to 140 mg/dL          Target Blood Glucose Levels in People Who Have Diabetes          Before meals    70 to 130 mg/dL        1 to 2 hours after the start of a meal    below 180 mg/dL
                
For people with diabetes, a blood glucose level below 70 mg/dL is considered hypoglycemia.</s>"
What is (are) guanidinoacetate methyltransferase deficiency ?,"Guanidinoacetate methyltransferase deficiency is an inherited disorder that primarily affects the brain and muscles. Without early treatment, people with this disorder have neurological problems that are usually severe. These problems include intellectual disability, speech development limited to a few words, and recurrent seizures (epilepsy). Affected individuals may also exhibit autistic behaviors that affect communication and social interaction or self-injurious behaviors such as head-banging. Other features of this disorder can include involuntary movements (extrapyramidal dysfunction) such as tremors or facial tics.  People with guanidinoacetate methyltransferase deficiency may have weak muscle tone and delayed development of motor skills such as sitting or walking. In severe cases they may lose previously acquired skills such as the ability to support their head or to sit unsupported.","<s>[INST] What is (are) guanidinoacetate methyltransferase deficiency ?[/INST] Guanidinoacetate methyltransferase deficiency is an inherited disorder that primarily affects the brain and muscles. Without early treatment, people with this disorder have neurological problems that are usually severe. These problems include intellectual disability, speech development limited to a few words, and recurrent seizures (epilepsy). Affected individuals may also exhibit autistic behaviors that affect communication and social interaction or self-injurious behaviors such as head-banging. Other features of this disorder can include involuntary movements (extrapyramidal dysfunction) such as tremors or facial tics.  People with guanidinoacetate methyltransferase deficiency may have weak muscle tone and delayed development of motor skills such as sitting or walking. In severe cases they may lose previously acquired skills such as the ability to support their head or to sit unsupported.</s>"
What is (are) Prinzmetal's variant angina ?,"Prinzmetal's variant angina is characterized by recurrent episodes of chest pain that occur while an individual is at rest. This condition is a form of unstable angina because the episodes do not occur in a predictable pattern. Prinzmetal's variant angina may occur spontaneously, or it may be caused by exposure to cold, emotional stress, alcohol withdrawal, or vasoconstricting medications. The symptoms of this condition usually respond to treatment. Individuals with Prinzmetals' variant angina may have a higher risk for heart attack or arrhythmia.","<s>[INST] What is (are) Prinzmetal's variant angina ?[/INST] Prinzmetal's variant angina is characterized by recurrent episodes of chest pain that occur while an individual is at rest. This condition is a form of unstable angina because the episodes do not occur in a predictable pattern. Prinzmetal's variant angina may occur spontaneously, or it may be caused by exposure to cold, emotional stress, alcohol withdrawal, or vasoconstricting medications. The symptoms of this condition usually respond to treatment. Individuals with Prinzmetals' variant angina may have a higher risk for heart attack or arrhythmia.</s>"
How many people are affected by North American Indian childhood cirrhosis ?,"North American Indian childhood cirrhosis has been found only in children of Ojibway-Cree descent in the Abitibi region of northwestern Quebec, Canada. At least 30 affected individuals from this population have been reported.","<s>[INST] How many people are affected by North American Indian childhood cirrhosis ?[/INST] North American Indian childhood cirrhosis has been found only in children of Ojibway-Cree descent in the Abitibi region of northwestern Quebec, Canada. At least 30 affected individuals from this population have been reported.</s>"
What are the symptoms of 2-methylbutyryl-CoA dehydrogenase deficiency ?,"What are the signs and symptoms of 2-methylbutyryl-CoA dehydrogenase deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for 2-methylbutyryl-CoA dehydrogenase deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Apneic episodes in infancy - Autosomal recessive inheritance - Exotropia - Generalized amyotrophy - Hypoglycemia - Hypothermia - Infantile onset - Lethargy - Microcephaly - Motor delay - Muscular hypotonia - Seizures - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","<s>[INST] What are the symptoms of 2-methylbutyryl-CoA dehydrogenase deficiency ?[/INST] What are the signs and symptoms of 2-methylbutyryl-CoA dehydrogenase deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for 2-methylbutyryl-CoA dehydrogenase deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Apneic episodes in infancy - Autosomal recessive inheritance - Exotropia - Generalized amyotrophy - Hypoglycemia - Hypothermia - Infantile onset - Lethargy - Microcephaly - Motor delay - Muscular hypotonia - Seizures - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
How to prevent Atrial Fibrillation ?,"Following a healthy lifestyle and taking steps to lower your risk for heart disease may help you prevent atrial fibrillation (AF). These steps include:
                
Following a heart healthy diet that's low in saturated fat, trans fat, and cholesterol. A healthy diet includes a variety of whole grains, fruits, and vegetables daily.
                
Not smoking.
                
Being physically active.
                
Maintaining a healthy weight.
                
If you already have heart disease or other AF risk factors, work with your doctor to manage your condition. In addition to adopting the healthy habits above, which can help control heart disease, your doctor may advise you to: 
                
Follow the DASH eating plan to help lower your blood pressure.
                
Keep your cholesterol and triglycerides at healthy levels with dietary changes and medicines (if prescribed).
                
Limit or avoid alcohol.
                
Control your blood sugar level if you have diabetes.
                
Get ongoing medical care and take your medicines as prescribed.
                
For more information about following a healthy lifestyle, visit the National Heart, Lung, and Blood Institute's Aim for a Healthy Weight Web site, ""Your Guide to a Healthy Heart,"" ""Your Guide to Lowering Your Blood Pressure With DASH,"" and ""Your Guide to Physical Activity and Your Heart.""","<s>[INST] How to prevent Atrial Fibrillation ?[/INST] Following a healthy lifestyle and taking steps to lower your risk for heart disease may help you prevent atrial fibrillation (AF). These steps include:
                
Following a heart healthy diet that's low in saturated fat, trans fat, and cholesterol. A healthy diet includes a variety of whole grains, fruits, and vegetables daily.
                
Not smoking.
                
Being physically active.
                
Maintaining a healthy weight.
                
If you already have heart disease or other AF risk factors, work with your doctor to manage your condition. In addition to adopting the healthy habits above, which can help control heart disease, your doctor may advise you to: 
                
Follow the DASH eating plan to help lower your blood pressure.
                
Keep your cholesterol and triglycerides at healthy levels with dietary changes and medicines (if prescribed).
                
Limit or avoid alcohol.
                
Control your blood sugar level if you have diabetes.
                
Get ongoing medical care and take your medicines as prescribed.
                
For more information about following a healthy lifestyle, visit the National Heart, Lung, and Blood Institute's Aim for a Healthy Weight Web site, ""Your Guide to a Healthy Heart,"" ""Your Guide to Lowering Your Blood Pressure With DASH,"" and ""Your Guide to Physical Activity and Your Heart.""</s>"
What are the symptoms of 5q- syndrome ?,"What are the signs and symptoms of 5q- syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for 5q- syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cells of the megakaryocyte lineage - Autosomal dominant contiguous gene syndrome - Erythroid hypoplasia - Myelodysplasia - Refractory macrocytic anemia - Somatic mutation - Sporadic - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","<s>[INST] What are the symptoms of 5q- syndrome ?[/INST] What are the signs and symptoms of 5q- syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for 5q- syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cells of the megakaryocyte lineage - Autosomal dominant contiguous gene syndrome - Erythroid hypoplasia - Myelodysplasia - Refractory macrocytic anemia - Somatic mutation - Sporadic - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
